"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"16316","ENSG00000153814","ENST00000283928","JAZF1"
"16317","ENSG00000105928","ENST00000342947","GSDME"
"16318","ENSG00000105928","ENST00000419307","GSDME"
"16319","ENSG00000105953","ENST00000443864","OGDH"
"16320","ENSG00000105953","ENST00000449767","OGDH"
"16321","ENSG00000105953","ENST00000222673","OGDH"
"16322","ENSG00000196367","ENST00000359863","TRRAP"
"16323","ENSG00000196367","ENST00000355540","TRRAP"
"16324","ENSG00000136261","ENST00000433922","BZW2"
"16325","ENSG00000175600","ENST00000401647","SUGCT"
"16326","ENSG00000175600","ENST00000628514","SUGCT"
"16327","ENSG00000175600","ENST00000335693","SUGCT"
"16328","ENSG00000106089","ENST00000222812","STX1A"
"16329","ENSG00000106089","ENST00000395156","STX1A"
"16330","ENSG00000122566","ENST00000354667","HNRNPA2B1"
"16331","ENSG00000122566","ENST00000356674","HNRNPA2B1"
"16332","ENSG00000106070","ENST00000335866","GRB10"
"16333","ENSG00000106070","ENST00000357271","GRB10"
"16334","ENSG00000166925","ENST00000300181","TSC22D4"
"16335","ENSG00000158604","ENST00000457408","TMED4"
"16336","ENSG00000158604","ENST00000289577","TMED4"
"16337","ENSG00000158604","ENST00000481238","TMED4"
"16338","ENSG00000106245","ENST00000403633","BUD31"
"16339","ENSG00000106245","ENST00000222969","BUD31"
"16340","ENSG00000241468","ENST00000414062","ATP5MF"
"16341","ENSG00000241468","ENST00000359832","ATP5MF"
"16342","ENSG00000241468","ENST00000292475","ATP5MF"
"16343","ENSG00000241468","ENST00000394186","ATP5MF"
"16344","ENSG00000106351","ENST00000300176","AGFG2"
"16345","ENSG00000189077","ENST00000493111","TMEM120A"
"16346","ENSG00000189077","ENST00000439537","TMEM120A"
"16347","ENSG00000196411","ENST00000358173","EPHB4"
"16348","ENSG00000106635","ENST00000223368","BCL7B"
"16349","ENSG00000106635","ENST00000411832","BCL7B"
"16350","ENSG00000106635","ENST00000455335","BCL7B"
"16351","ENSG00000106628","ENST00000406581","POLD2"
"16352","ENSG00000106628","ENST00000452185","POLD2"
"16353","ENSG00000106628","ENST00000610533","POLD2"
"16354","ENSG00000146731","ENST00000275603","CCT6A"
"16355","ENSG00000146731","ENST00000335503","CCT6A"
"16356","ENSG00000173041","ENST00000309683","ZNF680"
"16357","ENSG00000173041","ENST00000447137","ZNF680"
"16358","ENSG00000001629","ENST00000265742","ANKIB1"
"16359","ENSG00000164610","ENST00000297157","RP9"
"16360","ENSG00000105926","ENST00000222644","MPP6"
"16361","ENSG00000077454","ENST00000310300","LRCH4"
"16362","ENSG00000127920","ENST00000248564","GNG11"
"16363","ENSG00000164713","ENST00000539286","BRI3"
"16364","ENSG00000164713","ENST00000297290","BRI3"
"16365","ENSG00000005469","ENST00000419147","CROT"
"16366","ENSG00000005469","ENST00000412227","CROT"
"16367","ENSG00000005469","ENST00000331536","CROT"
"16368","ENSG00000122550","ENST00000339077","KLHL7"
"16369","ENSG00000122550","ENST00000322275","KLHL7"
"16370","ENSG00000122550","ENST00000409689","KLHL7"
"16371","ENSG00000136271","ENST00000258772","DDX56"
"16372","ENSG00000136271","ENST00000431640","DDX56"
"16373","ENSG00000106236","ENST00000265634","NPTX2"
"16374","ENSG00000105849","ENST00000222567","TWISTNB"
"16375","ENSG00000283321","ENST00000637807",""
"16376","ENSG00000166508","ENST00000303887","MCM7"
"16377","ENSG00000166508","ENST00000621318","MCM7"
"16378","ENSG00000166508","ENST00000354230","MCM7"
"16379","ENSG00000106086","ENST00000258679","PLEKHA8"
"16380","ENSG00000106086","ENST00000449726","PLEKHA8"
"16381","ENSG00000106086","ENST00000622102","PLEKHA8"
"16382","ENSG00000122545","ENST00000350320","SEPT7"
"16383","ENSG00000065883","ENST00000181839","CDK13"
"16384","ENSG00000065883","ENST00000340829","CDK13"
"16385","ENSG00000006451","ENST00000005257","RALA"
"16386","ENSG00000078399","ENST00000343483","HOXA9"
"16387","ENSG00000146828","ENST00000415287","SLC12A9"
"16388","ENSG00000146828","ENST00000354161","SLC12A9"
"16389","ENSG00000146828","ENST00000540482","SLC12A9"
"16390","ENSG00000214293","ENST00000440088","APTR"
"16391","ENSG00000205413","ENST00000379958","SAMD9"
"16392","ENSG00000122678","ENST00000335195","POLM"
"16393","ENSG00000122678","ENST00000242248","POLM"
"16394","ENSG00000122678","ENST00000395831","POLM"
"16395","ENSG00000132436","ENST00000395556","FIGNL1"
"16396","ENSG00000132436","ENST00000433017","FIGNL1"
"16397","ENSG00000132436","ENST00000419119","FIGNL1"
"16398","ENSG00000164692","ENST00000297268","COL1A2"
